"Metrica","Valor"
"Sensibilidade Agrupada","87,9% [78,6 – 93,5%]"
"Especificidade Agrupada","97,9% [89,7 – 99,6%]"
"AUC (SROC)","0,955"
"I2 (Zhou)","61%"
"I2 (Holling)","85,2 - 88,8%"
"N Total (Bivariado)","103.417"
